::ffff:127.0.0.1 - - [20/Feb/2021:06:58:02 +0000] "GET /api/v1/categories HTTP/1.1" 200 2201 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:06:58:21 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:06:58:25 +0000] "GET /api/v1/categories HTTP/1.1" 200 2203 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:06:59:26 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:06:59:38 +0000] "GET /api/v1/categories HTTP/1.1" 200 2214 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:06:59:57 +0000] "DELETE /api/v1/books/6030b34e3bf60b1a58992af0 HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:00:03 +0000] "GET /api/v1/categories HTTP/1.1" 200 2214 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:00:10 +0000] "GET /api/v1/books HTTP/1.1" 200 3201 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:00:40 +0000] "DELETE /api/v1/books/5e90434cd433fa11b078ed8a HTTP/1.1" 200 44 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:00:45 +0000] "DELETE /api/v1/books/5e90434cd433fa11b078ed8a HTTP/1.1" 200 44 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:01:00 +0000] "DELETE /api/v1/books/6030b2f63bf60b1a58992aee HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:01:03 +0000] "GET /api/v1/categories HTTP/1.1" 200 2203 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:01:12 +0000] "GET /api/v1/books HTTP/1.1" 200 1607 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:02:27 +0000] "GET /api/v1/categories HTTP/1.1" 200 2181 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:02:34 +0000] "GET /api/v1/books HTTP/1.1" 200 36 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:02:45 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:02:51 +0000] "GET /api/v1/categories HTTP/1.1" 200 2202 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:02:56 +0000] "GET /api/v1/books HTTP/1.1" 200 1605 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:03:07 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:03:10 +0000] "GET /api/v1/categories HTTP/1.1" 200 2202 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:03:14 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:03:39 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
